import time: self [us] | cumulative | imported package
import time:   1170500 |    6547513 |                         sqlalchemy.sql.ddl
import time:       273 |        273 |                                 _compat_pickle
import time:      7268 |       7268 |                                 _pickle
import time:      1330 |       8871 |                               pickle
import time:   1696277 |    1696277 |                                 sqlalchemy.engine._py_processors
import time:   4497859 |    6194135 |                               sqlalchemy.engine.processors
import time:   1745273 |    7948278 |                             sqlalchemy.sql.sqltypes
import time:   1704203 |    9652480 |                           sqlalchemy.sql.selectable
import time:   1732264 |   11384744 |                         sqlalchemy.sql.schema
import time:  78136989 |   97259662 |                       sqlalchemy.sql.util
import time:   1622182 |   98881843 |                     sqlalchemy.sql.dml
import time:   1379583 |  100261426 |                   sqlalchemy.sql.crud
import time:   1527011 |    1527011 |                   sqlalchemy.sql.functions
import time:   1236725 |  104507660 |                 sqlalchemy.sql.compiler
import time:   1309893 |    1309893 |                   sqlalchemy.sql._dml_constructors
import time:   1517743 |    1517743 |                   sqlalchemy.sql._elements_constructors
import time:   1581189 |    1581189 |                   sqlalchemy.sql._selectable_constructors
import time:   1515157 |    1515157 |                   sqlalchemy.sql.lambdas
import time:   1616409 |    7540390 |                 sqlalchemy.sql.expression
import time:   1161705 |    1161705 |                   sqlalchemy.sql.events
import time:   1388908 |    2550613 |                 sqlalchemy.sql.naming
import time:       563 |        563 |                 sqlalchemy.sql.default_comparator
import time:   1859764 |  128494246 |               sqlalchemy.sql
import time:        22 |  128494268 |             sqlalchemy.sql.compiler
import time:   1959667 |  146690614 |           sqlalchemy.engine.interfaces
import time:   1499904 |    1499904 |           sqlalchemy.engine.util
import time:   1588129 |  149778646 |         sqlalchemy.engine.base
import time:   1615073 |  151393719 |       sqlalchemy.engine.events
import time:      2424 |       2424 |             urllib
import time:      3272 |       3272 |             ipaddress
import time:      3028 |       8723 |           urllib.parse
import time:   1791502 |    1791502 |           sqlalchemy.dialects
import time:   1042435 |    2842659 |         sqlalchemy.engine.url
import time:   1025125 |    1025125 |         sqlalchemy.engine.mock
import time:   1736587 |    5604369 |       sqlalchemy.engine.create
import time:   2533543 |    2533543 |           sqlalchemy.engine.row
import time:   1652150 |    4185692 |         sqlalchemy.engine.result
import time:   1532902 |    5718594 |       sqlalchemy.engine.cursor
import time:   1324100 |    1324100 |       sqlalchemy.engine.reflection
import time:   1896190 |  165936970 |     sqlalchemy.engine
import time:   2234447 |    2234447 |     sqlalchemy.schema
import time:   2072547 |    2072547 |     sqlalchemy.types
import time:   1298015 |    1298015 |       sqlalchemy.engine.characteristics
import time:   1437687 |    2735701 |     sqlalchemy.engine.default
import time:   1106456 |  205775651 |   sqlalchemy
import time:   6224068 |    6224068 |                 sqlalchemy.sql._orm_types
import time:   1429276 |    7653343 |               sqlalchemy.orm._typing
import time:   1501282 |    9154625 |             sqlalchemy.orm.base
